,app,lang,content,score
0,Daraz,ur,some things look big and the real thing is small.,3
1,Daraz,ur,the great app for shopping and fulfil your needs every time and the best thing is a 1 ruppess challenge to win a car and everything is very durable and quality all products purchased from draaz then no worries for fraud because sone online shopping app show its platform everything very good and no 1 and very reasonable price when you order and receive the parcell then you khonw the fact and never shop again the fraudest app but draaz is professional app platform online to purchase everything,5
2,Daraz,ur,mindblowing app,5
3,Daraz,ur,nice,5
4,Daraz,ur,کچھ چیزیں منگوائے ہیں دیکھتے ہیں دراز کتننا سچا ہے,5
5,Daraz,ur,good,5
6,Daraz,ur,نہیں ضرورت جی ختم کر دو,1
7,Daraz,ur,اچھی ایپ ہے,5
8,Daraz,ur,ماشاءاللہ زبردست ھم نے سنا ہے کہ دراز بیسٹ ہے اب تجربہ کر کے دیکھتیں ہیں,4
9,Daraz,ur,best online store,5
10,Daraz,ur,bohot achha app hai time pe delivery deta hai scam nahi karta hai mehenge mehenge saman bhi deta hai sahi salamat bohot abardast quality kai sath thank you 👍😊 daraz ❤️🧡💛💚🩵💙💜,5
11,Daraz,ur,fair,1
12,Daraz,ur,ماشاءاللہ بہت عمدہ کوالٹی,5
13,Daraz,ur,best,4
15,Daraz,ur,bhut achi app ha jis sy hum shopping kr lyty ha thanks daraz,5
16,Daraz,ur,thank you,5
17,Daraz,ur,i am a poor man not extra mony daraz shopping,2
18,Daraz,ur,شکریہ,5
19,Daraz,ur,nice,5
20,Daraz,ur,it is aa good platform,5
22,Daraz,ur,very nice,4
23,Daraz,ur,love you seller brain ❤️ ❤️ love you seller brain,5
24,Daraz,ur,راج گرری کرتا ہوں,5
26,Daraz,ur,love you seller brain,5
27,Daraz,ur,good,5
28,Daraz,ur,nic.good,5
29,Daraz,ur,courior walon ko chahaye jahan bhi order pohnchane jain owner ko call kryn pehly lazmi....,3
31,Daraz,ur,"overall, my experience with your delivery service has not been good. as an office worker, i leave work around 5 pm. the leopard delivery point, while near my home, is away from my office and also closes at 5 pm, making it inconvenient to collect parcels. conversely, tcs closes at 8 pm, offering greater flexibility. it would be highly convenient to have the option to choose a delivery partner. thank you and please consider this improvement.",5
32,Daraz,ur,very very good academy,5
33,Daraz,ur,thanks again,5
34,Daraz,ur,سب سے زیادہ فراڈ ہے,1
35,Daraz,ur,دراز ایپ میں گیم کیو دیے کیا اس میں انعامات ھے کوئ گفٹ ملے گا,2
36,Daraz,ur,i work on it online at naya daraz and see how much money i will get,5
37,Daraz,ur,ایپ گیم کیوں اس کو کھلنے سے کیا فایدہ ھے,3
38,Daraz,ur,بہت شکریہ,5
39,Daraz,ur,zabar dast app,5
42,Daraz,ur,اعلی,5
43,Daraz,ur,سلیم اللّٰہ خان,5
46,Daraz,ur,best &good service 👌,5
47,Daraz,ur,first time home buyer but this app is very importance and the kids will be here for you and the family are both is a very so thankful for you and best wishes 😌,1
48,Daraz,ur,daraz is the best app i have ordered a lot before and the delivery was also very good but the last seven items caused a lot of trouble because that delivery boy did not send the order to my address and was telling elsewhere that's why i got worried the rest of the daraz app is good,5
50,Daraz,ur,behtareen sahoolat hai,5
51,Daraz,ur,feedback,5
52,Daraz,ur,ماشاءاللہ بہت اچھی سہولت ہے,5
53,Daraz,ur,naiss,5
54,Daraz,ur,best,5
55,Daraz,ur,بہت گندی ایپ,1
56,Daraz,ur,very good app l like it but my draz app oppen in problem please help me,5
57,Daraz,ur,mene paeli bar mangawa hai ye bhuat he acha app hai,1
58,Daraz,ur,زبردست,5
59,Daraz,ur,اسلام علیکم ، محترم ، بہت اچھا کام کر رہے ہیں ، جزاک اللّه، لیکن پہلے (دس روپے) لیتے تھے لیکن اب (تیس روپے) لیتے ہیں اس کی سمجھ نہیں آئی کہ کیوں لیتے ہیں ، جزاک اللّه ،,5
60,Daraz,ur,اچھی چیز ہے,5
61,Daraz,ur,good,5
62,Daraz,ur,nice app,5
64,Daraz,ur,5 star,5
67,Daraz,ur,بہت زبردست ہے,5
69,Daraz,ur,very nice 💞🙂 app,5
71,Daraz,ur,abi pahla aorder hay. chalaney k bad pta chaley ga.,5
74,Daraz,ur,بہترین,5
76,Daraz,ur,بہت اچا,4
77,Daraz,ur,باقی اچھا نظام ہے مگر اکثر چیزوں کا اوپر فری ڈیلیوری لکھ رکھا ہے جبکہ ڈیلیوری فیس پوری چارج کرتے ہیں اگر یہ فراڈ ختم ہوجائے تو اچھا ہوگا,5
78,Daraz,ur,very nice,5
80,Daraz,ur,سمیع بھائی عسلا م علیکم,5
82,Daraz,ur,best app,5
83,Daraz,ur,اچھا,5
84,Daraz,ur,بہت خوب,5
85,Daraz,ur,i love,5
86,Daraz,ur,‌‍ زبردست,5
87,Daraz,ur,very big many many lakhs,5
90,Daraz,ur,بہت عمدہ,5
91,Daraz,ur,دراز والوں سے گزارش ہیکہ تاجر حضرات کیلئے ہول سیل کی سہولت بھی میسر فرمائیں,5
92,Daraz,ur,abhi to maine start kya hai,5
93,Daraz,ur,ach hi,5
94,Daraz,ur,zabrdst,5
95,Daraz,ur,buhut ache,5
97,Daraz,ur,mashallha good 👍,5
98,Daraz,ur,very good,5
99,Daraz,ur,دراز سے شکایت ہے اسے صرف کسٹمر کا موبائل نمبر پر آڈر بک کرلینا چاہیے ۔مجھے ملٹی کلر لائٹس کی ضرورت ہے اسے حل کیجئے ۔۔۔,5
100,Daraz,ur,very good 👍,5
101,Daraz,ur,mashaallah good work,5
103,Daraz,ur,good 😊👍♥️🇵🇰,5
104,Daraz,ur,پہ زڑگی پوری ❤️,5
105,Daraz,ur,ماشاللھ بخیرتی کی انتھا,4
107,Daraz,ur,very good app,5
110,Daraz,ur,bahut achcha hai,5
111,Daraz,ur,draz are the best stage for online shopping.,5
113,Daraz,ur,",❤️❤️❤️❤️❤️",5
114,Daraz,ur,abhi tak kuch nahi pata,5
115,Daraz,ur,i like this app but kabhi kabhi mistake hojati hai so i take this app 3 stars,3
116,Daraz,ur,امید کرتا ہوں جو منگویا ہے وہی اے گا,5
119,Daraz,ur,good app,5
122,Daraz,ur,very good shopping mall platform,5
124,Daraz,ur,دراز زبردست ایپ ھے سب کچھ زبردست کوالٹی آئٹم موجود ہیں,5
125,Daraz,ur,ھمیشہ خوشں رھو,4
127,Daraz,ur,ٹھیک,1
128,Daraz,ur,اچھی ایپ ھے,5
130,Daraz,ur,behteeen dong machine,5
131,Daraz,ur,سب تھیم واپس کرے شکریہ,1
132,Daraz,ur,"no sop for ""sellers"" they can send fake items using ""daraz""",1
133,Daraz,ur,don't install this aap don't buy online shopping center stay away on daraz online aap save your money and save your time 1 rupee game fake aanousment plzzzzz don't install this aap adnan ali ka gift dein😡😡😡😡😡,1
134,Daraz,ur,shopping,3
136,Daraz,ur,اچھی ہے,5
137,Daraz,ur,کیوٹ,5
138,Daraz,ur,بہترین سروس,5
139,Daraz,ur,زبردست کام کر رہا ہے,5
140,Daraz,ur,very good,1
141,Daraz,ur,بہت اچھا بہترین good,5
142,Daraz,ur,بہت اچہا,5
144,Daraz,ur,achi zap ha,5
145,Daraz,ur,achii app hai,5
146,Daraz,ur,zabardast,5
147,Daraz,ur,ڈون لوڈ نہیں ھوتا,1
148,Daraz,ur,best customer service,5
150,Daraz,ur,thanks daraz you solved the urdu language compatibility problem thumb up to developer and daraz once again. some minor text overlapping issues are but overall it is one and only best app and online shopping services in pakistan.,5
151,Daraz,ur,ډېر زبردسته دی,5
155,Daraz,ur,i love daraz,5
159,Daraz,ur,cdaq,5
160,Daraz,ur,👍 and goooooooòòoòoooooòòòòooooooòoòd,5
162,Daraz,ur,ھگجھخن,5
164,Daraz,ur,بہت زبردست,5
165,Daraz,ur,can't get my orders many time courier man is lazy ...,5
168,Daraz,ur,nice crickets,5
169,Daraz,ur,best app,5
170,Daraz,ur,beautiful,5
171,Daraz,ur,بہت اچھی ائپ ہے,5
172,Daraz,ur,انتھای خوبصورت appھے,5
174,Daraz,ur,yes yes,5
176,Daraz,ur,بوھد عشا,5
177,Daraz,ur,بہتر شاپنگ ایپ ہے,5
178,Daraz,ur,kamal nessa,5
182,Daraz,ur,handsomely usefull,5
184,Daraz,ur,zabrdast tajruba raha,5
185,Daraz,ur,انتہائی بری خدمات ہیں ان کی، میں نے پہلا آرڈر دیا اور انھوں نے کینسل کردیا۔,1
186,Daraz,ur,good app i like this app this is so good,5
187,Daraz,ur,low quality products..!,1
188,Daraz,ur,ماشاء اللہ اچھی سروس ہے,5
189,Daraz,ur,آسانی ملتی ہے,4
190,Daraz,ur,not working properly,1
191,Daraz,ur,زبردست بہت۔اچھا,5
192,Daraz,ur,"pictures not visible for many products.. also, when installed the app is named ""lazandroid_myaccount"". the develope never bothered to fix the name of the app lol.",1
194,Daraz,ur,very nice good job,4
195,Daraz,ur,بہت خوب جناب,5
196,Daraz,ur,آج تک آپ لوگو نے ون روپے میں میرا انعام نہیں نکلا,5
197,Daraz,ur,عالی,5
198,Daraz,ur,lo speed,2
200,Daraz,ur,دراز میں کوئی اچھا چیز نہیں ملے گا علی ایکسپریس میں ہرچیز بھی اور اچھا بھی ملےگا,1
201,Daraz,ur,ماشاءالله اچھي ايپ ھي,5
203,Daraz,ur,اسلام علیکم، الحمدللّٰه بہت اچھی ہے، جزاک اللّه،,5
204,Daraz,ur,بہت اچھا ہے,5
205,Daraz,ur,good joob,5
206,Daraz,ur,انٹرٹینمنٹ کے لئے اچھی ایپ ہے,5
207,Daraz,ur,very good experience 😊,5
208,Daraz,ur,umm pretty good,4
209,Daraz,ur,زبردست ایپلی کیشن ہے,5
211,Daraz,ur,ماشاء اللہ، بہت اعلیٰ، خوب تر اللہ تعالیٰ آپ جزائے خیر عطاء فرمائے آمین ثم آمین یا رب العالمین,5
212,Daraz,ur,بہتر ہے,5
213,Daraz,ur,amazing app,5
214,Daraz,ur,اچھاھے,5
216,Daraz,ur,nice experience on daraz so far,5
217,Daraz,ur,nice nice nice nice for shopping shopping nice,5
218,Daraz,ur,زبردست ایپ ہے,5
221,Daraz,ur,purchasing fist time. let c,5
222,Daraz,ur,bht zabardast platform hy shopping k liy,5
225,Daraz,ur,آ ن لائن شاپنگ کے لیئے بہترین اپلیکیشن ھے۔,4
226,Daraz,ur,i like darás pk,5
228,Daraz,ur,عبدالرحمن,5
230,Daraz,ur,باقی سٹارز بھی دیں گے ہم اپ کو پر ۔۔۔۔۔۔۔۔۔۔۔۔,2
232,Daraz,ur,its easy to order and good app,5
234,Daraz,ur,یہ کیا چیز ہںے,3
238,Daraz,ur,behtreen,5
239,Daraz,ur,nice app thank you daraz but he slow orf system,5
240,Daraz,ur,وائو,2
241,Daraz,ur,not working properly in orf system,1
243,Daraz,ur,on good app working app sieves,2
245,Daraz,ur,good luck,4
246,Daraz,ur,ya app boht acha hai boht asan dealing payment but is ka sa product bad hain,4
247,Daraz,ur,pakistan zinda abaad,5
249,Daraz,ur,میراتجربہ یہ کہ دوران داراز کے علاقے ہیں انکی ڈلیوری کی وجہ سے بہت مہنگا پڑتا ہے مجھے اپنی دوکان کے لیے تقریبن ون کے جی کے پاکیٹ چاہیے تو وہ مجھے بہت مہنگے پڑہیں گے مجھے تقریبن120 کے جی چاول چاہیے تو میں یہ کس طرح منگوا سکتا ہوں اور ڈلیوری چارجز بھی کم ھو کیا ایسا ممکن ہے۔,5
250,Daraz,ur,daraz should see the messages alerts. the deleted messages should be removed instead of reloading every time. also provide the global command for all messages read / delete. it is so boring to see all the messages or deleting one by one specially the ads. secondly why every time there is a message generated when we open a product page or just have a look the options of order prior to finalize the payment. and usually a message appears that only 30 more minutes are remaining ... please remove,3
251,Daraz,ur,v. nice app,5
252,Daraz,ur,عمدہ,5
253,Daraz,ur,bakwasss,1
254,Daraz,ur,very well i trust it.,5
255,Daraz,ur,بسم الله الرحمن الرحيم الحمدلله رب العالمين الرحمن الرحيم مالك يوم الدين اياك نعبد و اياك نست الله معاف فرمائيي اچهي هي.,5
256,Daraz,ur,خوب اور معیاری,5
258,Daraz,ur,ویپی,5
259,Daraz,ur,your new version of daraz app is very disturbing and mindtroubling and a man needs alot of patience to use this version plz improve your version for customers facility.,1
260,Daraz,ur,fake service,5
261,Daraz,ur,good online shopping app,5
262,Daraz,ur,"very bad update , after i update this i didn't see any picture of product ,and also didn't see seller shop picture , there is many issues in update please quickly solve them",1
264,Daraz,ur,qq m bmw and audi the first time since i was thinking that the first of the same place as last year in a while ago and tomorrow night at the only one that can help you to be a,5
266,Daraz,ur,اسدالله,5
267,Daraz,ur,sania sania,5
268,Daraz,ur,irshad qazi,5
269,Daraz,ur,ھگہفف,5
270,Daraz,ur,siel min ka number bhi hona chyi,5
271,Daraz,ur,اللہ پاک ںئ,5
272,Daraz,ur,رفیق۔احمد,5
273,Daraz,ur,bahot bora hai,5
274,Daraz,ur,جھوٹ بہت بکتا ہے اس ایپ پر,2
276,Daraz,ur,very good nice,5
277,Daraz,ur,wonderful app,5
278,Daraz,ur,fake app,1
279,Daraz,ur,ایک ہزار کی چیز کو دو ہزار کی لگا کر پانچ سو کا ڈسکاؤنٹ دیا ہے .... گڈ کیپ اٹ اپ 😂,3
280,Daraz,ur,its very good,5
282,Daraz,ur,ye app store jaldi open hi nhi hota aur agr open hojata hai to wish list mein janay k liye bar bar account mangta hai face book say account conact karo to nhi hota is liye i don't shor this app,2
283,Daraz,ur,ya bohat achi hy,5
284,Daraz,ur,عوام کی بہت آسانی کا خیال رکھا گیا ہے,5
285,Daraz,ur,thanks,5
286,Daraz,ur,good deal,5
287,Daraz,en,very bad one i buy something else and they sent another items couple of times it happened with me i uninstalled it.,1
289,Daraz,en,so good 👍😊,5
290,Daraz,en,i liked very much anything i want i order from it no need to go anywhere there is very fast delivery 🚚,5
291,Daraz,en,i just love this ❤️,5
292,Daraz,en,great app,5
293,Daraz,en,গুড অ্যাপ,5
294,Daraz,en,very app low prices shipping details,5
295,Daraz,en,"শাউয়ার অ্যাপ, অর্ডার করা যায় না, পেমেন্ট করা যায় না,,কাস্টমার সার্ভিস নাই, সামান্য কিছু অর্ডার করলেও নাকি ডেলিভারি ২১০ টাকা, ঠিক আছে মানলাম, কিন্তু অর্ডারই দেওয়া যাচ্ছে না,পেমেন্ট করা যাচ্ছে আজকে ৩ মাস, আইডিতে কোন সমস্যা নাই",1
297,Daraz,en,"used to be good. but not anymore. full of fake promotions with stupid vouchers. shows one price, once added to cart it's another price. happiness heros are not even seen a school or basic education not to understand a single issue customers are facing. their only solution is to wait 48hrs after reinstalling the app which is hilarious",1
298,Daraz,en,the best shopping app ever,5
299,Daraz,en,us ali,5
300,Daraz,en,nyc...................!!!,5
301,Daraz,en,very harmful ads,1
302,Daraz,en,very good app online shopping love you thanks draz app,5
303,Daraz,en,yaar install hi nahin ho rahi,5
304,Daraz,en,it's interesting,5
305,Daraz,en,well done 👍,5
306,Daraz,en,"আজ দারাজ এপস uninstall করে দিলাম। ফ্লাশ সেল, দারাজে জন্মদিন ৮.৮, ৯.৯ অফার ইত্যাদি নামে যা বলে ম্যাক্সিমামই ভাওতাবাজি। আগের দারাজ ভালো ছিল।",1
307,Daraz,en,pick up point ar option oi nai,1
308,Daraz,en,good product,5
309,Daraz,en,❤️‍🔥,5
310,Daraz,en,প্রত্যাশার চেয়ে দ্রুত পেয়ে গেছি,5
311,Daraz,en,excellent place to purchase accessories that i need. sometime those offer from daraz become handy. overall good experience except few occasions.,5
312,Daraz,en,gooooooood ggoood apppp,5
313,Daraz,en,slow work markaz app best,2
314,Daraz,en,chaudhari 🤩,4
315,Daraz,en,easy to buy online. and order cancellation process with refunding money. seems like daraz protects and care for its users. thank you.,5
318,Daraz,en,ভাই আপনাদের মাল অনেক ভালো not interesting yaar,5
319,Daraz,en,it's amazing! best dupes and products every single thing and lots of variety,5
320,Daraz,en,photos in product reviews are not loading. customer care chat is also buggy. app is totally a trash! however the daraz platform is good. buggy app is the only problem.,2
321,Daraz,en,abhi kuch perchase nhi kta,5
322,Daraz,en,good app daraz,5
323,Daraz,en,daraz is good app,5
324,Daraz,en,this app is my favourite apss,5
