text,sentiment
excllent,positive
never trying,positive
bhai sahab ek number app hai mara tub bhi use karo ek number or sonu salimo tu kuta kuta gain yain,positive
السلام علیکم گزارش ہے کہ آگے چل کر کوئ چارجز نہ بڑھاے جائیں,positive
.🥹🥹🥹,positive
اس میں ای میل کا مسلہ ا رہا ہے,negative
not very good,negative
soo good,positive
kamal nessa,positive
very good,positive
اردو میں ترجمہ کر دیا جائے سب کچھ,positive
"ণ ,, ন",negative
nice 👍🙂👍🙂🙂🙂🙂🙂,positive
perfect 👍🏻,positive
i like this app,positive
love you seller brain,positive
♥️i love you 🍁,positive
good product,positive
بہت اشی,positive
پہلے یہ ایپ چلاتا رہا لیکن اب کھلتا نہیں حالانکہ کئی بار ڈاؤن لوڈ کیا ھے کیا وجہ ہے ٹھیک کردیں,negative
shahzadisiddigue,neutral
"worst platform i’ve dealt with. ordered one thing, got a different size & color. seller’s fault? sure. but here’s the kicker..daraz blocks the return itself. proof, complaint, attachments..were done. then their site freezes at the reason-select step. that’s not bad coding, that’s design. a million-dollar company refusing accountability, silencing valid claims, and pocketing failed deliveries. that’s not e-commerce, that’s fraud dressed as business.",negative
"fraud scam alert 🤬 i ordered a mobile cover but i didn't receive it and the shopkeepers say it has been delivered and i had already paid them the money. the laundry people are here.there are no rules for anyone, if someone cheats someone, they will keep doing it.",negative
سرار محمد صدیق آزادکشیمر وادی نلیم,positive
good 😊,positive
bhaat achi app h,positive
aaj 7 september 2024 abhi filhal daraz per sell chal raha hai ismein 4000 ka saman 2000 mein de raha hai aur aap normal bhi us saman ka price dekhoge to 2000 hi hai ek aur baat bahar se dekhne per 10000 dam hai to fir aapke click karoge to fir vah saman ka price 14000 price dekhne ko milega isko hi sale kaha jata hai normally aap purchase karoge to fir bhi 2000 dekhne ko milega aur discount mein vahi saman 4000 likhkar 2000 mein de raha hai 🤣🤣..,neutral
برنامج رائع ، اساسي في التنقل الى اي وجهة,positive
super app,positive
jaza marri,positive
مزمل,negative
please bring dark mode,positive
bhotkhob,negative
ظاہر اللہ,positive
supper,positive
یہ نا اہل ہے صحیح نہیں ہے اس میں اردو زبان نہیں,negative
bykea walon ka map kaam nahi kr rha hy.,positive
allah baksh allah baksh sfgxxgjjd gddghfsfjfdghhfd jgdj jalisco,positive
daraz scam my 64k shame on you daraz,negative
ماشاءالله,positive
"bhot hi gatya restrictions pe restrictions app ko bna diya hai month 20-25 din mai ik hi add de sakty ho free,app open kro ayse jesy adds ki dukan kol di..small city walay add post py othna pay karengy jitna big cities waly 100 views b nhi aty 5 din mai koi ku pay kre..app bhej dy kisi b nahi chala skaty thu..aur ye itne cheap developer raky hai ...gatya ui..",negative
بہت خوب۔,positive
january in my,positive
h uzaifa. f fg,positive
no location available now...? ایک بار پوسٹ لگا لو تو آئیندہ 6 مہینے تک پوسٹ نہیں لگا سکتے۔۔یعنی یہ بے کار کی ایپ ہے اب اس کو ڈیلیٹ کر دیں؟,negative
bolck my account کال بھی کر رہی تھی لیکن اگے,positive
"normal to thk hy, peak time boht mehenga hy",positive
عبد الرحمن,positive
location sahi nhi aati,negative
zaidullah,positive
کاش اس ایپ فری میں بغیر ایم بی کے استعمال ہوتا یا اس کیلیے کوئی پیکج ہوتا,negative
br br logout ho jata hai,negative
good!,positive
excellent 👍 good,positive
azam,negative
