text,sentiment
گانڈو نے رینٹ پہ گھر لیا ہوا تھا اس ویڈیو پر کلک کریں اپ کو پتہ چل جائے گا یہ کتنا بڑا گانڈ,neutral
ہمارے لوگوں میں تو سمجھ بوجھ نام کی کوئی چیز ہے ہی نہیں اسی لئے تو وہ مسخروں کو فالو کرتے ہیں,neutral
JazzCash mein limit check karna parta hai,neutral
"FoodPanda ke notifications timely hain, kabhi order miss nahi hota",positive
good.,neutral
جاز کیش کا یوزر انٹرفیس بہت پیچیدہ اور کنفیوزنگ ہے,negative
FoodPanda se kabhi fresh food milta hai aur kabhi thoda late aata hai,neutral
nice 👍👍👍,positive
bikar update diya hai kise kam kan nhi hi abhi olx,negative
"Easypaisa withdrawal par hidden charges lagte hain, bilkul unfair hai",negative
جیز کیش بہت اچھا ہے,positive
exallant,positive
اللہ تعالی مزید ترقی دے,positive
please bring dark mode,positive
بائیکا سواری کا معیار ہمیشہ ایک جیسا نہیں رہتا,neutral
اولیکس پر اکاؤنٹ کی ورفیکیشن کا پیغام آیا,neutral
JazzCash balance deduct ho gaya lekin recharge nahi hua,negative
muhammad shaban bajkani,positive
یوٹیوب پر پلے لسٹ بنانے کا طریقہ دیکھا,neutral
اس ایپلیکیشن میں اردو زبان نہیں ہے۔ لہٰذا اردو زبان لازمی شامل کریں۔ شکریہ۔,positive
amazing 🤩🤩🤩,positive
وقت ضائع ہونے سے بچانے میں مددگار ساتھی,positive
TikTok me profile edit option easy milta hai,neutral
موبائل لوڈ یا پیکج کرتے وقت بس دیر تک انتظار کروایا جاتا ہے نکتے بار بار گھومتے دکھائی دیتے ہیں نمبر یا رقم لکھنے کی دیر تک نوبت نہیں آتی ۔۔۔۔ بہت پریشانی کا سامنا کرنا پڑتا ہے۔,negative
کریم کی ایپ کبھی سست چلتی ہے,neutral
nice time saving,positive
bahut zabardast app,positive
"Careem ka driver waqt par nahi aaya, ride cancel krna parhi",negative
Acer monitor brightness adjustment settings mein kiye,neutral
ایپ کا ڈیزائن صاف اور استعمال میں نہایت آسان ہے,positive
TikTok video upload karne ka process simple lagta hai,neutral
یہ نہیں کھلتا ہے,negative
K-Electric ka bill online website par dekh lia,neutral
worst ever olx staff,negative
فوڈ پانڈا سے کھانے کی ڈلیوری تازہ اور جلد ملی,positive
AWeber automation features basic hain compared to advanced competitors,negative
bhai bht masla kr raha hai new update k bad,negative
بہترین بہت اچھی,positive
بھائی صاحب اس کی اصل قیمت (950000) سے شروع ہوکر (1000000) پر ختم ہوتی ہے۔ٹی سی ایل ایک چائنیز کمپنی ہے ،جو سیم سنگ سے سستی ٹی وی بناتی ہے،جن صاحب سے آپ نے خریدا انھوں  نے آپ کو چونہ لگایا ۔,neutral
siam mollah,positive
HBL ki branch ka address app par search kia gaya,neutral
کے الیکٹرک کا ماہانہ یونٹ کا حساب چیک کیا,neutral
اللہ پاک ںئ,positive
bhai new design k baad delivery nhi chal rahi,negative
Daraz se koi cheez mangwao to pata chalta hai k woh out of stock hai,negative
best app 👍,positive
