text,sentiment
۱۳۔ می۔ آپ۔ حج   کر۔ lete,neutral
welcome,positive
not very good,negative
یوٹیوب چینل پر غیر ضروری اشتہارات بہت تھے,negative
"Careem ki car fragrance fresh thi, trip mazedaar tha",positive
amazing ap,positive
ایانءلی,positive
کیا اب اس ملک میں لوگ اپنا گھر لیکر سکون سے بھی نہیں رہ سکتا ہے   بڑی تکلیف ہو رہی ہے اتنے پیسے کہا سے آے  بندا یتننے سالوں سے یوٹیوب کر رہا ہے.. ایک طرف fia کا الزام اپر سے جوۓ کی پروموٹ  کیا ہے ان لوگوں کو بس یہی ملا ہے جو psl میں جوۓ کو پرموٹ کرتا ا رہا ہے ان سب کپ پکڑوں ارے وہا سے کچھ نہیں ملنا ہیں یہاں سے پیسے ملے گے... پاکستان کہ قانون ماشاللہ ہی ہے جو مسجد کو شہید کیا گیا ان پے کوئی میڈیا بات نہیں کر رہا نہ ان کو کوئی پکڑ رہا ہے وہاں یہ پاکستان ہے دوسرے ملک میں اگر مسجد کو گرا دیا جائے ہماری 2 کوڑی کا میڈیا بھوکنے لگتا ہے... 💔,neutral
زبردست ایپ ہیں,positive
বাংলাদেশের সব থেকে ফালতু অনলাইন স্বপিং প্ল্যাটফর্ম।ভালো রিভিউ পরেও ভালো প্রোডাক্ট পাওয়া যায় না সঠিক প্রোডাক্ট পাওয়া যায় না।,negative
ashfaq ahmed,positive
best ride app 👍,positive
excellent 👌🏻,positive
حاجی عبدالرزاق,positive
اچھاھے,positive
سائیکل کاباھی سسٹم,positive
بهشت ټیک هی,positive
Easypaisa ka helpline kabhi helpful hota hai kabhi busy hota hai,neutral
زنردست,positive
سر میرے سی این آئی سی پر کسی نے اکاؤنٹ بنایا ہے اب میں یہ کیسے چیک کرو کہ کونسے نمبر پر ہے,negative
good jazz cash app,positive
"is app nay mujhe 6500 le kar kuch nahi diya. call center walon ki meethi baton mein mat ain. free main 3 ads miltay hain woh use kar lain. baqi khud azmana chahain to check kar lain. this app is a fraud when it comes to paid membership. you are given three free ads, get it but don't go for paid promotion. i wasted 6500 rupees but didn't get even a single sale. don't pay attention to representatives.",negative
muhammadzakir,positive
good ride for amjad,positive
daraz used to be a very good place for online shopping but now it's untrustworthy and mostly sellers on daraz are fake and fraudulent and also daraz has become fraudulent and scammer as well and there's no way to refund they're just making some lame excuses and i will never ever buy anything from daraz again,negative
. lmcotrw to dsa🟡🧏‍♀️,positive
بہت بہترین ایپ ہے,neutral
okay👌,positive
improved,positive
shahzadisiddigue,neutral
"Daraz ka order experience har bar alag hota hai, kabhi acha kabhi average",neutral
"OLX pe ek ad fake nikla, seller ne respond karna band kar dia",negative
godd,positive
bohat hi faltu app hai inke reider jahil.h bilkul,negative
دراز پر خریدی گئی کتاب پھٹی ہوئی نکلی,negative
best app esi paisa ilove rashid mehmood khan,positive
عبدالبصیر خان دمڑ,positive
بہت ھی زبردست اپشن ھےبینگ سےھزاردرجےبہترھے,positive
Bykea ka fare reasonable lagta hai magar traffic delay common hai,neutral
g ha achi eb hy,positive
olx is good,positive
disappointing,negative
شکریہ گورنمنٹ اف پاکستان اپ نے ان بے غیرت لوگوں کو ای سی ایل پر ڈالا ان بے غیرت لوگوں نے بے شمار کروں کو برباد کیا ہے۔۔۔ اب ان کی برباد ہونے کا ٹائم شروع ہو گیا ہے۔۔۔ ایک بار پھر شکریہ گورنمنٹ اف پاکستان کا۔۔۔,neutral
🥰🥰🥰🥰,positive
"super dali niya lang gamitin,good always naman po🥰🥰",positive
nice application,positive
ائی لائک دی ایپ,positive
JazzCash se fees pay ki thi par system pe reflect hi nahi hua,negative
zabardasth بہت خوب,positive
ماشاءاللہ ماشاءاللہ,positive
excellent 💯👌,positive
یوٹیوب پر کچھ وڈیوز وقت ضائع کرتی ہیں,neutral
کرایہ کا گھر، اردو پوائنٹ پر ویڈیو آگی ہے,neutral
good 👍😊,positive
ساد بھائ آپ ڈسکہ میں کب آٸیں گئے,neutral
assalamualaikum,positive
Daraz ki packaging weak thi aur item scratch hua aaya,negative
kisan mzdur,positive
location lga kar bhi kisi dusri dur ki location ki searching items ati hain,negative
نایس,positive
good services,positive
