,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,is_urdu,text_lower,sentiment
19,UgyRnzgi5EpbQtmpvaZ4AaABAg,دکی بھائی آگیا باہر 6 گھنٹے پہلے,3 hours ago,@faheembabar1191,UC5C57RZ4U6GQ5lb4RZj_sUw,0,,https://yt3.ggpht.com/33efXPVAagpj37fzHmX93PdsjxlUttemQD6ox2UCw0IhcJOUjmYKT_LK5Bcjk5g76LhVxGBK=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.246938,True,دکی بھائی آگیا باہر 6 گھنٹے پہلے,neutral
211,UgyHXD1iCACLABzk2AZ4AaABAg,اللہ پاک آپ کو رہائی دلائے بھائی love you😢,2 days ago,@Tahirdgk1,UCLdN_Zwb6sFBr5sKIbgrznw,0,,https://yt3.ggpht.com/MNatO9kZ22NrFINhadkKtmPH5crmSPLDh637_eknStWkc0nAp4Fpu6PSBsdm5YMUKRj2-Xc42w=s88-c-k-c0x00ffffff-no-rj,False,False,1757775831.592934,True,اللہ پاک آپ کو رہائی دلائے بھائی love you😢,neutral
368,Ugyl8vPRSsDGtz57jKF4AaABAg,"ڈکی میں نا تو تیرا فین ھوں نا ہی میں ویڈیوز دیکھتا لیکن جو کچھ تیرے ساتھ ھو رھا بھائی وہ غلط ھے 
مکمل سپورٹ تیرے ساتھ 
انہوں نے شاہد پیسہ لینا تیرے سے
اجکل یہ ایسے ھو رھا ہر جگہ 
کوئی تیرا ساتھ دے نا دے میں  دوں گا ۔۔۔میں نا فین ھوں نا میں ویڈیوز پسند کرتا ھوں لیکن جو ھو رھا تیرے ساتھ غلط ھے وہ",3 days ago (edited),@adeel_real,UCDqdlXCat51pcbT0mz2EbpA,0,1.0,https://yt3.ggpht.com/lTdKrMEwwBsljjXHkvR-XBLL9oVDvGtArEVheUMLLGqIdI41QENjjQRvdactD_aa8VeVgJCT9g=s88-c-k-c0x00ffffff-no-rj,False,False,1757689436.106729,True,"ڈکی میں نا تو تیرا فین ھوں نا ہی میں ویڈیوز دیکھتا لیکن جو کچھ تیرے ساتھ ھو رھا بھائی وہ غلط ھے 
مکمل سپورٹ تیرے ساتھ 
انہوں نے شاہد پیسہ لینا تیرے سے
اجکل یہ ایسے ھو رھا ہر جگہ 
کوئی تیرا ساتھ دے نا دے میں  دوں گا ۔۔۔میں نا فین ھوں نا میں ویڈیوز پسند کرتا ھوں لیکن جو ھو رھا تیرے ساتھ غلط ھے وہ",neutral
595,UgzT0laflRBxGltqiiB4AaABAg,"جی 
سعد میاں کہاں اب تو آپ کو رہائی مل گئی ❤❤❤❤❤❤❤❤❤",5 days ago,@Islamicofficial6060-zh1uo,UCqpiEdmihmQZhORIKI1TqeQ,0,,https://yt3.ggpht.com/SQB_qnfuDAZQ_VpWcFICIhC7Lt7ecBIH_bo3dIfgqaEnH0lN5QhCVDc1M1CqGla0IQPOHrma=s88-c-k-c0x00ffffff-no-rj,False,False,1757516641.936927,True,"جی 
سعد میاں کہاں اب تو آپ کو رہائی مل گئی ❤❤❤❤❤❤❤❤❤",neutral
1094,UgxmA1ctHLga1SUIABZ4AaABAg,اللہ تعالیٰ بھائی کے لیے آسانیاں پیدا فرمائے آمین,8 days ago,@zswatches,UCR9l7FID56HxOQBHDKKLyzQ,0,,https://yt3.ggpht.com/SGpoxRD8UCM4-Zh8g8BkrplsCOgGfP2idjXO79E4REq-7sNNrEHf8bLGVNJ7UkeQ3o8qFrkdiQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757257454.776103,True,اللہ تعالیٰ بھائی کے لیے آسانیاں پیدا فرمائے آمین,neutral
1099,UgxiCw3V9rw1XrI8DyJ4AaABAg,:جس طرح اسکو ذلیل کیا جا رہا ہے کسی کرپٹ سیاستدان بیوروکریٹ یہ کسی فوجی کے ساتھ اس طرح کا سلوک ہو سکتا ہے اگر نہیں تو پھر اسکے ساتھ بھی زیادتی ہے۔,8 days ago,@AmnaWaqar-y1f,UCgVyM5x8JkYQ2AP_TDvpzVQ,0,,https://yt3.ggpht.com/ytc/AIdro_nmtsXDHjV3vsi3WJxNLeR6_m62bNa4V324lnRtnFy0u-rpS5RDcRIx863T-hajBZ4JOA=s88-c-k-c0x00ffffff-no-rj,False,False,1757257454.787781,True,:جس طرح اسکو ذلیل کیا جا رہا ہے کسی کرپٹ سیاستدان بیوروکریٹ یہ کسی فوجی کے ساتھ اس طرح کا سلوک ہو سکتا ہے اگر نہیں تو پھر اسکے ساتھ بھی زیادتی ہے۔,neutral
1163,UgzveHSLbUcOUe3Yxl14AaABAg,ڈکی عبرت کا نشانہ بنا دیکھ لو انکھیں کھول کے یہ ہے دنیا کی جالی فالوورشپ جب مشکل پڑی تو اٹھ ملین رکھنے کے باوجود کوئی فالوور اس کے ساتھ نہیں,9 days ago,@Aagahi786,UCYVCo7dZp1wrDJ-pjsHPA3A,0,,https://yt3.ggpht.com/a3mLZw8Zz5WcSHaKZIGBj4L0xqnZbbhjbpFzmcTyImVlK7zEMOEZVSxZLeNdyUYNmUF99vKtAA=s88-c-k-c0x00ffffff-no-rj,False,False,1757171055.774083,True,ڈکی عبرت کا نشانہ بنا دیکھ لو انکھیں کھول کے یہ ہے دنیا کی جالی فالوورشپ جب مشکل پڑی تو اٹھ ملین رکھنے کے باوجود کوئی فالوور اس کے ساتھ نہیں,neutral
1287,UgxG-DjV11M6K9Z4MGd4AaABAg,ہمارے لوگوں میں تو سمجھ بوجھ نام کی کوئی چیز ہے ہی نہیں اسی لئے تو وہ مسخروں کو فالو کرتے ہیں,9 days ago,@Ehsaas_TV,UCrhu7ZVm-gF6kBVaLNqYAQA,0,,https://yt3.ggpht.com/9eLU30knzn6TYF0ntYL6_1WzdoxQN5pVATKFTGoCRxsgRadyqA31Kl69TqxJuVevdvLTc2qM4Q=s88-c-k-c0x00ffffff-no-rj,False,False,1757171058.44254,True,ہمارے لوگوں میں تو سمجھ بوجھ نام کی کوئی چیز ہے ہی نہیں اسی لئے تو وہ مسخروں کو فالو کرتے ہیں,neutral
1328,UgyRcpJu4NXOO1HUVpN4AaABAg,"یہ خوشیاں یہ زندگی یہ لذتوں کا سرور

وَمَا الْحَيُوةُ الدُّنْيَا إِلَّا مَتَاعُ الْغُرُبُورِ

کہ جس کے سامنے سب برابر ہے امیر و فقیر

حَسْبُنَا الله ونعم الوكيل

ہر جاندار کا ہونا ہے ایک دن قوت موت

كل نَفْسٍ ذَائِقَةُ الْمَوْتُ

اور ختم ہوا دنیاں کو پانے کا جنون

إِنَّا للهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ",10 days ago,@MueenTanha,UCLOR8TyiUq89nvDeMbJcAJg,0,,https://yt3.ggpht.com/EJ-s2B3qnxjwCtPdUJLvocet7gH1MV78phboCToyQgKdeOGGY_nY5yoTN5ui0dFFibETGwG8=s88-c-k-c0x00ffffff-no-rj,False,False,1757084659.325163,True,"یہ خوشیاں یہ زندگی یہ لذتوں کا سرور

وَمَا الْحَيُوةُ الدُّنْيَا إِلَّا مَتَاعُ الْغُرُبُورِ

کہ جس کے سامنے سب برابر ہے امیر و فقیر

حَسْبُنَا الله ونعم الوكيل

ہر جاندار کا ہونا ہے ایک دن قوت موت

كل نَفْسٍ ذَائِقَةُ الْمَوْتُ

اور ختم ہوا دنیاں کو پانے کا جنون

إِنَّا للهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ",neutral
1523,UgzN3v0Qbr8jd2nfWOR4AaABAg,روز آپ کے و ہلاک کا انتظار رہتا ہے اللہ پاک آپ کی سب پریشانی دور فرماۓ آمین,11 days ago,@foziashariq5937,UCmbsRG_c0jynKhsd1P_UwRQ,4,,https://yt3.ggpht.com/ytc/AIdro_nj52r54LP66EYFqP7Inb6jhP8S_q3e1BbIP1asn4ZSRuEPMPd_TcQnDlhRVA6szGI8QQ=s88-c-k-c0x00ffffff-no-rj,False,False,1756998264.223682,True,روز آپ کے و ہلاک کا انتظار رہتا ہے اللہ پاک آپ کی سب پریشانی دور فرماۓ آمین,neutral
