app,lang,content,score
Daraz,ur,Some things look big and the real thing is small.,3
Daraz,ur,The great app for shopping and fulfil your needs every time and the best thing is a 1 ruppess challenge to win a car and everything is very durable and quality all products purchased from draaz then no worries for fraud because sone online shopping app show its platform everything very good and no 1 and very reasonable price when you order and receive the parcell then you khonw the fact and never shop again the fraudest app but Draaz is professional app platform online to purchase everything,5
Daraz,ur,mindblowing app,5
Daraz,ur,nice,5
Daraz,ur,کچھ چیزیں منگوائے ہیں دیکھتے ہیں دراز کتننا سچا ہے,5
Daraz,ur,good,5
Daraz,ur,نہیں ضرورت جی ختم کر دو,1
Daraz,ur,اچھی ایپ ہے,5
Daraz,ur,ماشاءاللہ زبردست ھم نے سنا ہے کہ دراز بیسٹ ہے اب تجربہ کر کے دیکھتیں ہیں,4
Daraz,ur,best online store,5
Daraz,ur,Bohot achha app hai time pe delivery deta hai scam NAHI karta hai mehenge mehenge Saman bhi deta hai sahi salamat bohot abardast quality Kai sath Thank you 👍😊 daraz ❤️🧡💛💚🩵💙💜,5
Daraz,ur,Fair,1
Daraz,ur,ماشاءاللہ بہت عمدہ کوالٹی,5
Daraz,ur,Best,4
Daraz,ur,اچھی ایپ ہے,3
Daraz,ur,Bhut achi app ha jis sy hum shopping kr lyty ha thanks daraz,5
Daraz,ur,thank you,5
Daraz,ur,i am a poor man not extra mony daraz shopping,2
Daraz,ur,شکریہ,5
Daraz,ur,Nice,5
Daraz,ur,it is aa good platform,5
Daraz,ur,گڈ,5
Daraz,ur,very nice,4
Daraz,ur,Love you seller brain ❤️ ❤️ Love you seller brain,5
Daraz,ur,راج گرری کرتا ہوں,5
Daraz,ur,اچھی ایپ ہے,3
Daraz,ur,love you seller brain,5
Daraz,ur,GOOD,5
Daraz,ur,Nic.good,5
Daraz,ur,courior walon ko chahaye jahan bhi order pohnchane jain owner ko Call kryn pehly Lazmi....,3
Daraz,ur,good,5
Daraz,ur,"Overall, my experience with your delivery service has not been good. As an office worker, I leave work around 5 PM. The Leopard delivery point, while near my home, is away from my office and also closes at 5 PM, making it inconvenient to collect parcels. Conversely, TCS closes at 8 PM, offering greater flexibility. It would be highly convenient to have the option to choose a delivery partner. Thank you and please consider this improvement.",5
Daraz,ur,Very very good academy,5
Daraz,ur,Thanks again,5
Daraz,ur,سب سے زیادہ فراڈ ہے,1
Daraz,ur,دراز ایپ میں گیم کیو دیے کیا اس میں انعامات ھے کوئ گفٹ ملے گا,2
Daraz,ur,I work on it online at Naya Daraz and see how much money I will get,5
