app,lang,content,score,detected_lang,sentiment
Daraz,ur,the great app for shopping and fulfil your needs every time and the best thing is a 1 ruppess challenge to win a car and everything is very durable and quality all products purchased from draaz then no worries for fraud because sone online shopping app show its platform everything very good and no 1 and very reasonable price when you order and receive the parcell then you khonw the fact and never shop again the fraudest app but draaz is professional app platform online to purchase everything,5,en,positive
Daraz,ur,nice,5,pl,positive
Daraz,ur,کچھ چیزیں منگوائے ہیں دیکھتے ہیں دراز کتننا سچا ہے,5,ur,positive
Daraz,ur,good,5,so,positive
Daraz,ur,نہیں ضرورت جی ختم کر دو,1,ur,negative
Daraz,ur,اچھی ایپ ہے,5,ur,positive
Daraz,ur,ماشاءاللہ زبردست ھم نے سنا ہے کہ دراز بیسٹ ہے اب تجربہ کر کے دیکھتیں ہیں,4,ur,positive
Daraz,ur,best online store,5,no,positive
Daraz,ur,bohot achha app hai time pe delivery deta hai scam nahi karta hai mehenge mehenge saman bhi deta hai sahi salamat bohot abardast quality kai sath thank you 👍😊 daraz ❤️🧡💛💚🩵💙💜,5,id,positive
Daraz,ur,fair,1,cy,negative
Daraz,ur,ماشاءاللہ بہت عمدہ کوالٹی,5,ur,positive
Daraz,ur,best,4,af,positive
Daraz,ur,شکریہ,5,ur,positive
Daraz,ur,nice,5,pl,positive
Daraz,ur,very nice,4,cs,positive
Daraz,ur,love you seller brain ❤️ ❤️ love you seller brain,5,fr,positive
Daraz,ur,راج گرری کرتا ہوں,5,ur,positive
Daraz,ur,love you seller brain,5,fr,positive
Daraz,ur,good,5,so,positive
Daraz,ur,nic.good,5,pl,positive
Daraz,ur,سب سے زیادہ فراڈ ہے,1,ur,negative
Daraz,ur,دراز ایپ میں گیم کیو دیے کیا اس میں انعامات ھے کوئ گفٹ ملے گا,2,ur,negative
Daraz,ur,ایپ گیم کیوں اس کو کھلنے سے کیا فایدہ ھے,3,ur,neutral
Daraz,ur,بہت شکریہ,5,ur,positive
Daraz,ur,zabar dast app,5,lv,positive
Daraz,ur,اعلی,5,ar,positive
Daraz,ur,سلیم اللّٰہ خان,5,ur,positive
Daraz,ur,behtareen sahoolat hai,5,nl,positive
Daraz,ur,ماشاءاللہ بہت اچھی سہولت ہے,5,ur,positive
Daraz,ur,naiss,5,fi,positive
Daraz,ur,best,5,af,positive
Daraz,ur,بہت گندی ایپ,1,ur,negative
Daraz,ur,mene paeli bar mangawa hai ye bhuat he acha app hai,1,id,negative
Daraz,ur,زبردست,5,fa,positive
Daraz,ur,اسلام علیکم ، محترم ، بہت اچھا کام کر رہے ہیں ، جزاک اللّه، لیکن پہلے (دس روپے) لیتے تھے لیکن اب (تیس روپے) لیتے ہیں اس کی سمجھ نہیں آئی کہ کیوں لیتے ہیں ، جزاک اللّه ،,5,ur,positive
Daraz,ur,اچھی چیز ہے,5,ur,positive
Daraz,ur,good,5,so,positive
Daraz,ur,nice app,5,it,positive
Daraz,ur,5 star,5,sv,positive
Daraz,ur,بہت زبردست ہے,5,ur,positive
Daraz,ur,abi pahla aorder hay. chalaney k bad pta chaley ga.,5,so,positive
Daraz,ur,بہترین,5,ur,positive
Daraz,ur,بہت اچا,4,ur,positive
Daraz,ur,باقی اچھا نظام ہے مگر اکثر چیزوں کا اوپر فری ڈیلیوری لکھ رکھا ہے جبکہ ڈیلیوری فیس پوری چارج کرتے ہیں اگر یہ فراڈ ختم ہوجائے تو اچھا ہوگا,5,ur,positive
Daraz,ur,very nice,5,cs,positive
Daraz,ur,سمیع بھائی عسلا م علیکم,5,ur,positive
Daraz,ur,best app,5,fr,positive
Daraz,ur,اچھا,5,ur,positive
Daraz,ur,بہت خوب,5,ur,positive
Daraz,ur,i love,5,sl,positive
Daraz,ur,‌‍ زبردست,5,fa,positive
Daraz,ur,very big many many lakhs,5,tl,positive
Daraz,ur,بہت عمدہ,5,ur,positive
Daraz,ur,دراز والوں سے گزارش ہیکہ تاجر حضرات کیلئے ہول سیل کی سہولت بھی میسر فرمائیں,5,ur,positive
Daraz,ur,abhi to maine start kya hai,5,sw,positive
Daraz,ur,ach hi,5,cy,positive
Daraz,ur,zabrdst,5,sl,positive
Daraz,ur,mashallha good 👍,5,so,positive
Daraz,ur,very good,5,af,positive
Daraz,ur,دراز سے شکایت ہے اسے صرف کسٹمر کا موبائل نمبر پر آڈر بک کرلینا چاہیے ۔مجھے ملٹی کلر لائٹس کی ضرورت ہے اسے حل کیجئے ۔۔۔,5,ur,positive
Daraz,ur,very good 👍,5,af,positive
Daraz,ur,mashaallah good work,5,so,positive
Daraz,ur,good 😊👍♥️🇵🇰,5,so,positive
Daraz,ur,پہ زڑگی پوری ❤️,5,ur,positive
Daraz,ur,ماشاللھ بخیرتی کی انتھا,4,ur,positive
Daraz,ur,bahut achcha hai,5,sw,positive
Daraz,ur,",❤️❤️❤️❤️❤️",5,unknown,positive
Daraz,ur,abhi tak kuch nahi pata,5,id,positive
Daraz,ur,i like this app but kabhi kabhi mistake hojati hai so i take this app 3 stars,3,et,neutral
Daraz,ur,امید کرتا ہوں جو منگویا ہے وہی اے گا,5,ur,positive
Daraz,ur,good app,5,cy,positive
Daraz,ur,دراز زبردست ایپ ھے سب کچھ زبردست کوالٹی آئٹم موجود ہیں,5,ur,positive
Daraz,ur,ھمیشہ خوشں رھو,4,ur,positive
Daraz,ur,ٹھیک,1,ur,negative
Daraz,ur,اچھی ایپ ھے,5,ur,positive
Daraz,ur,behteeen dong machine,5,nl,positive
Daraz,ur,سب تھیم واپس کرے شکریہ,1,ur,negative
Daraz,ur,shopping,3,tl,neutral
Daraz,ur,اچھی ہے,5,ur,positive
Daraz,ur,کیوٹ,5,ur,positive
Daraz,ur,بہترین سروس,5,ur,positive
Daraz,ur,زبردست کام کر رہا ہے,5,ur,positive
Daraz,ur,very good,1,af,negative
Daraz,ur,بہت اچھا بہترین good,5,ur,positive
Daraz,ur,بہت اچہا,5,ur,positive
Daraz,ur,achi zap ha,5,sw,positive
Daraz,ur,achii app hai,5,sw,positive
Daraz,ur,zabardast,5,lv,positive
