content,score
Some things look big and the real thing is small.,3
The great app for shopping and fulfil your needs every time and the best thing is a 1 ruppess challenge to win a car and everything is very durable and quality all products purchased from draaz then no worries for fraud because sone online shopping app show its platform everything very good and no 1 and very reasonable price when you order and receive the parcell then you khonw the fact and never shop again the fraudest app but Draaz is professional app platform online to purchase everything,5
mindblowing app,5
nice,5
کچھ چیزیں منگوائے ہیں دیکھتے ہیں دراز کتننا سچا ہے,5
good,5
نہیں ضرورت جی ختم کر دو,1
اچھی ایپ ہے,5
ماشاءاللہ زبردست ھم نے سنا ہے کہ دراز بیسٹ ہے اب تجربہ کر کے دیکھتیں ہیں,4
best online store,5
Bohot achha app hai time pe delivery deta hai scam NAHI karta hai mehenge mehenge Saman bhi deta hai sahi salamat bohot abardast quality Kai sath Thank you 👍😊 daraz ❤️🧡💛💚🩵💙💜,5
Fair,1
ماشاءاللہ بہت عمدہ کوالٹی,5
Best,4
اچھی ایپ ہے,3
Bhut achi app ha jis sy hum shopping kr lyty ha thanks daraz,5
thank you,5
i am a poor man not extra mony daraz shopping,2
شکریہ,5
Nice,5
it is aa good platform,5
گڈ,5
very nice,4
Love you seller brain ❤️ ❤️ Love you seller brain,5
راج گرری کرتا ہوں,5
اچھی ایپ ہے,3
love you seller brain,5
GOOD,5
Nic.good,5
courior walon ko chahaye jahan bhi order pohnchane jain owner ko Call kryn pehly Lazmi....,3
good,5
"Overall, my experience with your delivery service has not been good. As an office worker, I leave work around 5 PM. The Leopard delivery point, while near my home, is away from my office and also closes at 5 PM, making it inconvenient to collect parcels. Conversely, TCS closes at 8 PM, offering greater flexibility. It would be highly convenient to have the option to choose a delivery partner. Thank you and please consider this improvement.",5
Very very good academy,5
Thanks again,5
سب سے زیادہ فراڈ ہے,1
دراز ایپ میں گیم کیو دیے کیا اس میں انعامات ھے کوئ گفٹ ملے گا,2
I work on it online at Naya Daraz and see how much money I will get,5
ایپ گیم کیوں اس کو کھلنے سے کیا فایدہ ھے,3
بہت شکریہ,5
zabar dast app,5
Nice,5
As,5
اعلی,5
سلیم اللّٰہ خان,5
good,5
good,5
best &good service 👌,5
First time home buyer but this app is very importance and the kids will be here for you and the family are both is a very so thankful for you and best wishes 😌,1
Daraz is the best app I have ordered a lot before and the delivery was also very good But the last seven items caused a lot of trouble Because that delivery boy did not send the order to my address And was telling elsewhere That's why I got worried The rest of the daraz app is good,5
good,5
Behtareen sahoolat hai,5
Feedback,5
ماشاءاللہ بہت اچھی سہولت ہے,5
Naiss,5
best,5
بہت گندی ایپ,1
Very good app l like it but my draz app oppen in problem please help me,5
MENE PAELI BAR MANGAWA HAI YE BHUAT HE ACHA APP HAI,1
زبردست,5
اسلام علیکم ، محترم ، بہت اچھا کام کر رہے ہیں ، جزاک اللّه، لیکن پہلے (دس روپے) لیتے تھے لیکن اب (تیس روپے) لیتے ہیں اس کی سمجھ نہیں آئی کہ کیوں لیتے ہیں ، جزاک اللّه ،,5
اچھی چیز ہے,5
Good,5
Nice app,5
good,1
5 star,5
Nice,5
nice,2
بہت زبردست ہے,5
Nice,5
Very nice 💞🙂 App,5
Good,5
abi pahla aorder hay. chalaney k bad pta chaley ga.,5
good,5
Good,5
بہترین,5
ok,5
بہت اچا,4
باقی اچھا نظام ہے مگر اکثر چیزوں کا اوپر فری ڈیلیوری لکھ رکھا ہے جبکہ ڈیلیوری فیس پوری چارج کرتے ہیں اگر یہ فراڈ ختم ہوجائے تو اچھا ہوگا,5
Very nice,5
good,5
سمیع بھائی عسلا م علیکم,5
good,5
Best App,5
اچھا,5
بہت خوب,5
I love,5
‌‍ زبردست,5
very big many many lakhs,5
بہترین,5
nic,5
بہت عمدہ,5
دراز والوں سے گزارش ہیکہ تاجر حضرات کیلئے ہول سیل کی سہولت بھی میسر فرمائیں,5
abhi to maine start kya Hai,5
ach hi,5
zabrdst,5
buhut ache,5
Wah,5
Mashallha good 👍,5
very Good,5
دراز سے شکایت ہے اسے صرف کسٹمر کا موبائل نمبر پر آڈر بک کرلینا چاہیے ۔مجھے ملٹی کلر لائٹس کی ضرورت ہے اسے حل کیجئے ۔۔۔,5
Very good 👍,5
mashaallah good work,5
good,5
Good 😊👍♥️🇵🇰,5
پہ زڑگی پوری ❤️,5
ماشاللھ بخیرتی کی انتھا,4
بطچ,1
Very good app,5
good,5
ok,5
bahut Achcha hai,5
Draz are the best stage for online shopping.,5
Nice,5
",❤️❤️❤️❤️❤️",5
abhi tak kuch nahi pata,5
I like this app but kabhi kabhi mistake hojati hai so I take this app 3 stars,3
