cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
Ugwq4iEZWWltyWNAiIF4AaABAg,1:57 welcome back ❤🎉,2 minutes ago,@muradbhaivlogs226,UCBbWFNJVxNiiA9Q-1pppkRQ,0,,https://yt3.ggpht.com/rfHyBTmmjBaONophI4bc2eZDn0ydgrydmbc_Rl3RLL_V5omTAYwU5JjLUk4cLjgp7C5HcBFvPw=s88-c-k-c0x00ffffff-no-rj,False,False,1757948507.210679
UgwVkbxQZQ7hA82kLWx4AaABAg,Come back plz😢,24 minutes ago,@lifewitheesme,UCPs6prOOYCdzTRS88rRJRiQ,0,,https://yt3.ggpht.com/j9w06Qkczg_ek8MnVbjB2bqeiciYliVzGmG7neNnPIGu03BOELJkIhj7U1Y5yH9J1mxqq4cAbSw=s88-c-k-c0x00ffffff-no-rj,False,False,1757947187.215601
Ugz35LD1lP2dk2nR92d4AaABAg,Miss you ducky bhai daily apka intzar hota he allah pak apke mushkil asaan kree🥺🤍 or jaldi apne rooten pr waps ajao love you bhai❤,25 minutes ago,@SumairAngle,UC69WwbsP2V_fSpPbsc3p0MA,1,,https://yt3.ggpht.com/ytc/AIdro_mJWnsy-4D0HHK7e70lAjKZZtXkBBcCBOJGArgGB83flQAgJc3mP46709hKr12KPbfx0A=s88-c-k-c0x00ffffff-no-rj,False,False,1757947127.218293
UgzsfcmiJkJ7GFwBLpd4AaABAg,We miss you,40 minutes ago,@momenazulfiqar8895,UCT9GR-_AfILLQhpN4cHDXqw,0,,https://yt3.ggpht.com/ytc/AIdro_n9lKFipDn-LfpC9KfosrUp01i_WT5XSor6VFREU8M=s88-c-k-c0x00ffffff-no-rj,False,False,1757946227.221055
UgwEKDZXsSoe5CfYsY94AaABAg,New vlog kb ay ga we are waiting,47 minutes ago,@zubariausman6401,UCf-rzdA-w77D7Wiqh5AWzbg,0,,https://yt3.ggpht.com/ytc/AIdro_mj8EIl3qqyd1v34hKDHjksezq4b6nFy2N35gL2b_uf=s88-c-k-c0x00ffffff-no-rj,False,False,1757945807.223571
UgxwPs7AhtANolSmJR94AaABAg,Come back 😤,52 minutes ago,@HashimUsman-k9o8s,UCNiu9nfKKRLpS0m-OcxKENg,0,,https://yt3.ggpht.com/9qeJb6onXRmH4dA0YENd4f2m759z2QGnoH4SlyTDLPcBRz4eUC9OZYjoN8d5NARiLSxao3kk=s88-c-k-c0x00ffffff-no-rj,False,False,1757945507.225985
Ugwfi-JaGorWgfBzzGJ4AaABAg,Your wife married a donkey. Pls change your YouTube channel name from ducky to Donkey.,57 minutes ago,@letssing324,UCiCyi0GWjye5XpPWX7Qv6iw,0,,https://yt3.ggpht.com/iDRZXW9EYoIUK5-BtklFJW02bbkr_Y57Ica1Ch6mHqw2d7yqmXKR-fHhv3fC9mw3QKCtAWnaxT4=s88-c-k-c0x00ffffff-no-rj,False,False,1757945207.228825
UgxATDzS2mPO1XVDqTF4AaABAg,Duky bahi apka is vlog ko me tesri baar Dek raha hun abi to youtoaib pe hana bi band kya hai pelizzz camback ❤❤,1 hour ago,@yasirnawaz0,UC4_ImAkq3VpUVtza1CjURIw,1,1,https://yt3.ggpht.com/U3BsJBeomIMooV3bNoljnOlm0ieE1XEeDABrDWldR12qxSjd-6EF3q7Y8X-7gLtGpnQ6ASCB=s88-c-k-c0x00ffffff-no-rj,False,False,1757945027.230525
UgzG9CNHLsidFtvQMC14AaABAg,I will miss you come back😢😢😢😢😢😢😢,1 hour ago,@KhanMohammad-s8x9n,UC_22qQSR-qZFB9odmwVWCGQ,1,,https://yt3.ggpht.com/ytc/AIdro_mxd3Qels4-xHG3jli3CCXRdd38xpNrGdrKkcMeYrs_ytayMuPl1b50TqCPD-gw609mTw=s88-c-k-c0x00ffffff-no-rj,False,False,1757945027.232042
UgxczfHxCV6R4V-cWjl4AaABAg,Ducky Bhai miss you so much please come back ❤,1 hour ago,@KumailSoomro-o5c,UC78PnkDGmOxCW0PREZoJUBg,1,,https://yt3.ggpht.com/Ot95bKpnah63IxGsuud6ihTNp1k7eIN1Yp9ikdxeqzQeBHYspeynIoZcs1qgkKsbWvyDmCe_-A=s88-c-k-c0x00ffffff-no-rj,False,False,1757945027.233504
UgxEVyvkc-9noLzBrFB4AaABAg,Miss you😢,2 hours ago,@SubyKhan-ng4nd,UCFl7udrzpxfECh6SEJsVicg,1,,https://yt3.ggpht.com/ytc/AIdro_kN0vHjIDhTA7B0t2l-8jw4du0Fp3Q4NWDxREtZ0wG6prM4O5dykKEJAxt14lhBl9HMMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757941427.23488
Ugw5AmNE97NwcRiTKcx4AaABAg,🥀😩,2 hours ago,@Syni_jutt,UC7PGbo1feNbqYEUtwfRwfHw,0,,https://yt3.ggpht.com/ERScIDKrDS5KYDwwM7AlSeZcw2BKyRVJ2AEQwf2pwZOLi3CY3Su6zNRA0wJaJIk1HTzl3_1pWlg=s88-c-k-c0x00ffffff-no-rj,False,False,1757941427.236247
UgzQVSVAm4uYTtDcJBB4AaABAg,He will comback,2 hours ago,@Jalladgaming509,UCXgbLrlp4PPdM0tqHAIYv1Q,0,,https://yt3.ggpht.com/4uga97DnpciZBCHhnKodx2JqFcGBoNLc4qY1sPrunXdIwzTlqSlcs_wxhCn8lZhiwrg2axZ0MnE=s88-c-k-c0x00ffffff-no-rj,False,False,1757941427.237598
Ugx59HPf8lO1iqTlK3R4AaABAg,I LOVE YOU,2 hours ago,@saimlegend5124,UCh0m3DkBBy0NH2K9M4DXVUA,0,,https://yt3.ggpht.com/vASovnsH-84-gxoGi-eQ7B05HVg9rpkn8fDapfEDCVa4kv-wUpID5PoV8zY2D_zi46vLEqBn=s88-c-k-c0x00ffffff-no-rj,False,False,1757941427.238922
UgzrkR4A1lBmV0Bn7yx4AaABAg,Bhut jald ducky bhai wapis ayein gy aur 9 million celebration apni ducky bhai family ky sth karain gy IN SHA ALLAH❤️❤️ Ya Allah ducky bhai ko jaldi sy wapis ly ayein Ameen sumameen 🥹🥹,3 hours ago,@Beems31-nn,UCjwyNKV2MoSzOiC2-_E-vvg,2,,https://yt3.ggpht.com/mz09Pz-creUuclra9MkcU2n60r7pMhoeA-zGTdD_TLSgMubw8s3yaSUjMnOpWDiJjbFm-gs=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.240277
Ugxjy8burtwyKcOZW9p4AaABAg,Ducky bhai we need your come back ❤,3 hours ago,@IlsaFatimaAbbasi,UC3u6RqG1BC2eTtWhgeH8-4w,0,,https://yt3.ggpht.com/cJnKoTfQVg8sngeDhMmv_dqmt7A9gQUKxiJaQ9prCPvSe-sms7aogfHvsydgUJjl2K6zgBayy3Q=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.241621
Ugy_648-0OYADf660454AaABAg,India se ho apka fan vpn lagakar video dekta ho india me apka channel nhai a rha 😢,3 hours ago,@Jassu-l7e,UCAv2swK2rUK9t7VTKAK-sUA,0,,https://yt3.ggpht.com/MXXTFMlRGJztqmiBMnr5GxTWvoVHz0fCh9fFTSArS9pQXLUHN9mohOokMpqWzavOB7ORcbv8EzY=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.242924
